"customer_id","customer_name","customer_email","type_client","Business_region","first_order","last_order","quantity_orders","customer_span","avg_days_between_orders","customer_risk","customer_loyalty"
"CID049","Gabriel Afonso","gabriel.afonso@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID029","Eva Almeida","eva.almeida@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID005","Rui Almeida","rui.almeida@hotmail.com","B2C","EMEA","2023-11-12","2023-11-12","1","0","0.00","Low Risk","Regular"
"CID050","Frank Alves","frank.alves@hotmail.com","B2C","AMER","2022-08-14","2022-11-12","3","90","45.00","High Risk","Regular"
"CID051","Rui Antunes","rui.antunes@azure.com","B2B","EMEA","2023-11-28","2023-11-28","1","0","0.00","Low Risk","Regular"
"CID052","Laura Araújo","laura.araujo@gmail.com","B2C","EMEA","2022-12-05","2022-12-05","1","0","0.00","High Risk","Regular"
"CID053","Eva Assunção","eva.assuncao@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID054","Julia Avila","julia.avila@azure.com","B2B","EMEA","2022-12-12","2023-02-19","2","69","69.00","High Risk","Regular"
"CID055","Gabriel Baptista","gabriel.baptista@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID056","Frank Barbosa","frank.barbosa@hotmail.com","B2C","AMER","2022-09-14","2022-12-08","3","85","42.50","High Risk","Regular"
"CID041","Eva Barros","eva.barros@hotmail.com","B2C","EMEA","2023-03-31","2023-03-31","1","0","0.00","High Risk","Regular"
"CID018","Julia Barros","julia.barros@azure.com","B2B","EMEA","2022-10-02","2023-04-30","3","210","105.00","High Risk","Regular"
"CID057","Rui Bastos","rui.bastos@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID058","Laura Brito","laura.brito@gmail.com","B2C","EMEA","2022-06-29","2023-03-25","3","269","134.50","High Risk","Regular"
"CID059","Eva Caetano","eva.caetano@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID060","Julia Caldas","julia.caldas@azure.com","B2B","EMEA","2022-07-22","2022-10-23","2","93","93.00","High Risk","Regular"
