customer_id,first_name,last_name,email,country,signup_date,lifetime_spend,purchase_frequency
CID001,Eva,Rodrigues,eva.rodrigues@gmail.com,Italy,2022-09-01,1777.92,10
CID002,Julia,Gomes,julia.gomes@hotmail.com,Spain,2022-08-13,2709.76,12
CID003,Gabriel,Martins,gabriel.martins@azure.com,Germany,2022-05-03,2636.57,12
CID004,Frank,Silva,frank.silva@gmail.com,Italy,2023-06-12,2940.45,12
CID005,Rui,Almeida,rui.almeida@hotmail.com,France,2023-09-05,1636.92,8
CID006,Laura,Costa,laura.costa@azure.com,Portugal,2023-05-18,2471.22,11
CID007,Gabriel,Santos,gabriel.santos@gmail.com,Brazil,2022-01-26,2207.3,11
CID008,Frank,Oliveira,frank.oliveira@hotmail.com,USA,2023-06-03,2462.64,12
CID009,Rui,Souza,rui.souza@azure.com,Italy,2023-02-14,2420.2,10
CID010,Laura,Pinto,laura.pinto@gmail.com,Germany,2022-01-19,2681.4,12
CID011,Eva,Carvalho,eva.carvalho@hotmail.com,France,2023-02-23,1780.4,8
CID012,Julia,Ribeiro,julia.ribeiro@azure.com,Portugal,2022-12-07,2491.72,11
CID013,Gabriel,Teixeira,gabriel.teixeira@gmail.com,Brazil,2022-08-10,2336.84,11
CID014,Frank,Fernandes,frank.fernandes@hotmail.com,USA,2023-05-05,1990.2,10
CID015,Rui,Correia,rui.correia@azure.com,Italy,2023-05-13,1915.28,10
CID016,Laura,Vasconcelos,laura.vasconcelos@gmail.com,Germany,2022-10-18,2903.04,12
CID017,Eva,Mendes,eva.mendes@hotmail.com,France,2023-08-14,1427.68,8
CID018,Julia,Barros,julia.barros@azure.com,Portugal,2023-08-01,2329.14,11
CID019,Gabriel,Cunha,gabriel.cunha@gmail.com,Brazil,2022-01-27,2722.5,12
CID020,Frank,Cardoso,frank.cardoso@hotmail.com,USA,2023-09-24,1968.4,10
CID021,Rui,Guimarães,rui.guimaraes@azure.com,Italy,2022-02-21,2698.8,12
CID022,Laura,Marques,laura.marques@gmail.com,Germany,2023-05-13,1652.6,10
CID023,Eva,Machado,eva.machado@hotmail.com,France,2023-08-01,1730.08,8
CID024,Julia,Dias,julia.dias@azure.com,Portugal,2023-01-28,2194.06,11
CID025,Gabriel,Coelho,gabriel.coelho@gmail.com,Brazil,2022-04-20,2992.8,12
CID026,Frank,Gomes,frank.gomes@hotmail.com,USA,2023-03-02,1523.6,10
CID027,Rui,Martins,rui.martins@azure.com,Italy,2022-04-12,2315.61,11
CID028,Laura,Silva,laura.silva@gmail.com,Germany,2023-08-14,1528.2,10
CID029,Eva,Almeida,eva.almeida@hotmail.com,France,2023-01-22,1750.64,8
CID030,Julia,Costa,julia.costa@azure.com,Portugal,2022-04-01,2737.57,12
CID031,Gabriel,Oliveira,gabriel.oliveira@gmail.com,Brazil,2022-05-09,2457.73,11
CID032,Frank,Souza,frank.souza@hotmail.com,USA,2022-05-18,2943.48,12
CID033,Rui,Pinto,rui.pinto@azure.com,Italy,2023-08-07,1739.0,10
CID034,Laura,Carvalho,laura.carvalho@gmail.com,Germany,2023-02-18,1720.5,10
CID035,Eva,Ribeiro,eva.ribeiro@hotmail.com,France,2023-08-13,1588.72,8
CID036,Julia,Teixeira,julia.teixeira@azure.com,Portugal,2023-04-26,1771.6,8
CID037,Gabriel,Fernandes,gabriel.fernandes@gmail.com,Brazil,2022-03-24,2515.26,11
CID038,Frank,Correia,frank.correia@hotmail.com,USA,2022-05-01,2698.8,12
CID039,Rui,Vasconcelos,rui.vasconcelos@azure.com,Italy,2022-01-20,2338.38,11
CID040,Laura,Mendes,laura.mendes@gmail.com,Germany,2022-05-02,2984.76,12
CID041,Eva,Barros,eva.barros@hotmail.com,France,2022-05-24,2493.81,11
CID042,Julia,Cunha,julia.cunha@azure.com,Portugal,2023-09-02,1560.16,8
CID043,Gabriel,Cardoso,gabriel.cardoso@gmail.com,Brazil,2022-04-03,2608.21,12
CID044,Frank,Guimarães,frank.guimaraes@hotmail.com,USA,2023-07-25,1885.5,10
CID045,Rui,Marques,rui.marques@azure.com,Italy,2022-08-02,2438.48,11
CID046,Laura,Machado,laura.machado@gmail.com,Germany,2022-09-05,2496.0,11
CID047,Eva,Dias,eva.dias@hotmail.com,France,2022-05-27,2495.13,11
CID048,Julia,Coelho,julia.coelho@azure.com,Portugal,2023-06-03,1844.4,10
CID049,Gabriel,Afonso,gabriel.afonso@gmail.com,Brazil,2022-06-21,2808.84,12
CID050,Frank,Alves,frank.alves@hotmail.com,USA,2023-03-12,1925.7,10
CID051,Rui,Antunes,rui.antunes@azure.com,Italy,2022-03-14,2694.01,12
CID052,Laura,Araújo,laura.araujo@gmail.com,Germany,2022-06-01,2814.72,12
CID053,Eva,Assunção,eva.assuncao@hotmail.com,France,2023-08-01,1705.5,10
CID054,Julia,Avila,julia.avila@azure.com,Portugal,2022-02-15,2631.53,12
CID055,Gabriel,Baptista,gabriel.baptista@gmail.com,Brazil,2023-05-18,2065.3,10
CID056,Frank,Barbosa,frank.barbosa@hotmail.com,USA,2022-05-10,2400.09,11
CID057,Rui,Bastos,rui.bastos@azure.com,Italy,2023-04-26,1775.4,8
CID058,Laura,Brito,laura.brito@gmail.com,Germany,2022-07-25,2675.35,12
CID059,Eva,Caetano,eva.caetano@hotmail.com,France,2023-06-17,1465.5,8
CID060,Julia,Caldas,julia.caldas@azure.com,Portugal,2022-12-11,2425.8,11
CID061,Gabriel,Campos,gabriel.campos@gmail.com,Brazil,2023-03-28,1995.15,10
CID062,Frank,Cardoso,frank.cardoso@hotmail.com,USA,2022-02-23,2915.6,12
CID063,Rui,Castro,rui.castro@azure.com,Italy,2023-09-05,1625.35,8
CID064,Laura,Cavaco,laura.cavaco@gmail.com,Germany,2022-11-01,2295.7,11
CID065,Eva,Chaves,eva.chaves@hotmail.com,France,2023-05-14,2025.4,10
CID066,Julia,Coelho,julia.coelho@azure.com,Portugal,2022-01-13,2995.85,12
CID067,Gabriel,Cordeiro,gabriel.cordeiro@gmail.com,Brazil,2023-08-07,1755.2,10
CID068,Frank,Correia,frank.correia@hotmail.com,USA,2022-03-12,2845.5,12
CID069,Rui,Cortes,rui.cortes@azure.com,Italy,2022-10-14,2375.45,11
CID070,Laura,Costa,laura.costa@gmail.com,Germany,2023-07-06,1835.35,10
CID071,Eva,Cruz,eva.cruz@hotmail.com,France,2022-09-17,2565.65,12
CID072,Julia,Cunha,julia.cunha@azure.com,Portugal,2023-02-09,1935.25,10
CID073,Gabriel,Dantas,gabriel.dantas@gmail.com,Brazil,2022-04-18,2935.65,12
CID074,Frank,Dias,frank.dias@hotmail.com,USA,2023-09-24,1595.4,8
CID075,Rui,Dinis,rui.dinis@azure.com,Italy,2022-11-12,2235.8,11
CID076,Laura,Duarte,laura.duarte@gmail.com,Germany,2023-03-15,1985.45,10
CID077,Eva,Esteves,eva.esteves@hotmail.com,France,2022-01-26,2965.95,12
